ConfigSave,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/ConfigSave.txt,Save Configuration on a 6.x device,,,,,,,,
,,,,,,,,,,,,
ELINEnoCFM,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/ELINEnoCFM.txt,Set up ELINE/EPL service without CFM,,,,,,,,
ELINEnoCFM,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/ELINEnoCFM.txt,Set up ELINE/EPL service without CFM,,,,,,,,
,,,,,,,,,,,,
TerminalLoopback,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/TerminalLoopback.txt,Turn Terminal Loopback on on port,,,,,,,,
TerminalLoopbackOff,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/TerminalLoopbackOff.txt,Turn Terminal Loopback off on port,,,,,,,,
LoopPort,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/LoopPort.txt,Loop Port - this needs to be tested on 3903,,,,,,,,
LoopPortOff,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/LoopPortOff.txt,Unloop port - this needs to be tested on 3903,,,,,,,,
FacilityLoopbackOn,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/FacilityLoopbackOn.txt,Set Facility Loopback on port,,,,,,,,
FacilityLoopbackOff,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/FacilityLoopbackOff.txt,Turn Facility Loopback off on port,,,,,,,,
,,,,,,,,,,,,
ReflectTaggedAndUntagged,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/ReflectTaggedAndUntagged.txt,https://youtu.be/t5wnMfoeTDk  Reflect all tagged and untagged traffic sent to shared-mac MAC address found in  sh system mac command,,,,,,,,
ReflectUntagged,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/ReflectUntagged.txt,Setup SAT Reflector for Untagged Traffic on UNI port.  Traffic will be sent to Benchmark MAC address found in chassis show mac command ,,,,,,,,
ReflectAllVlans,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/ReflectAllVlans.txt,Setup SAT Reflector for Tagged Traffic on UNI port. Traffic will be sent to Benchmark MAC address found in chassis show mac command ,,,,,,,,
DeleteAllVlansReflector,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/DeleteAllVlansReflector.txt,Delete Reflector for All VLANS on UNI port,,,,,,,,
DeleteUntaggedReflector,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/DeleteUntaggedReflector.txt,Delete Reflector for Untagged Services on UNI port,,,,,,,,
DisableReflector,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/DisableReflector.txt,Disable Reflector so it can be deleted on UNI port,,,,,,,,
RemoveReflector,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/RemoveReflector.txt,MUST DisableReflector FIRST.  Remove SAT Reflector on UNI port,,,,,,,,
,,,,,,,,,,,,
ELINE,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/ELINE.txt,Set up ELINE/EPL service with CFM,,,,,,,,
ELINE,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/ELINE.txt,Set up ELINE/EPL service with CFM,,,,,,,,
ELINEAddUNIPort,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/AddUNIportToELINE.txt,Add UNI port to existing EPL service,,,,,,,,
ELINEAddUNIPort,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/ELINEAddUNIPort.txt,Add UNI port to existing EPL service ,,,,,,,,
,,,,,,,,,,,,
DeleteELINE,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/DeleteELINE.txt,Delete ELINE/EPL service with CFM,,,,,,,,
DeleteELINE,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/DeleteELINE.txt,Delete ELINE/EPL service with CFM,,,,,,,,
RemoveUNIportFromELINE,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/RemoveUNIportFromELINE.txt,Remove UNI port from existing ELINE service,,,,,,,,TEST TEST TEST TEST
RemoveUNIportFromELINE,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/RemoveUNIportFromELINE.txt,Remove UNI port from existing ELINE service,,,,,,,,TEST TEST TEST TEST
,,,,,,,,,,,,
DIA,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/DIA.txt,Setup a DIA service,,,,,,,,
DIA,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/DIA.txt,Create DIA Service,,,,,,,,
DeleteDIA,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/DeleteDIA.txt,Delete DIA Service,,,,,,,,
DeleteDIA,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/DeleteDIA.txt,Delete DIA Service,,,,,,,,
,,,,,,,,,,,,
VLINE,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/VLINE.txt,Create VLINE Service,,,,,,,,
VLINEwithCFM,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/VLINEwithCFM.txt,Create VLINE Service with CFM,,,,,,,,
VLINE,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/VLINE.txt,Setup VLINE service,,,,,,,,TEST TEST TEST TEST
VLINEwithCFM,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/VLINEwithCFM.txt,Setup VLINE service with CFM (10.x only),,,,,Test it with 6.x,,,TEST TEST TEST TEST
,,,,,,,,,,,,
